2026-05-08 19:05:53,20.0,15.7,423.0
2026-05-08 19:06:43,60.0,15.7,79.0
2026-08-29 19:11:09,10.0,14.87,423.0
2026-08-29 19:18:09,90.0,14.87,0.0
2026-08-29 19:20:11,10.0,14.87,423.0
2026-08-29 19:21:25,90.0,14.49,0.0
2026-08-29 19:21:38,90.0,14.49,0.0
2026-08-29 19:21:47,90.0,14.49,0.0
2026-08-29 19:22:18,10.0,14.49,423.0
2026-08-29 19:22:27,10.0,14.49,423.0
2026-08-29 19:22:38,10.0,14.49,423.0
2026-08-29 19:22:50,20.0,14.49,423.0
2026-08-29 19:22:58,60.0,14.49,79.0
2026-08-29 19:23:07,45.0,14.49,423.0
2026-08-29 19:45:58,90.0,14.4,0.0
2026-08-29 19:46:11,85.0,14.4,0.0
2026-08-29 19:46:27,80.0,14.4,0.0
2026-08-29 19:46:34,75.0,14.4,0.0
2026-08-29 19:47:50,70.0,14.4,24.0
2026-08-29 19:47:57,75.0,14.4,0.0
2026-08-29 19:48:04,74.0,14.4,0.0
2026-08-29 19:48:10,73.0,14.4,0.0
2026-08-29 19:48:15,72.0,14.4,0.0
2026-08-29 19:48:20,71.0,14.4,0.0
2026-08-29 19:48:39,70.0,14.4,24.0
2026-08-29 19:51:25,70.0,14.4,24.0
2026-08-29 19:51:44,69.0,14.48,24.0
2026-08-29 19:51:53,70.0,14.48,24.0
2026-08-29 19:52:01,76.0,14.48,0.0
2026-08-29 19:52:12,75.0,14.48,0.0
2026-08-29 19:52:19,70.0,14.48,24.0
2026-08-29 19:52:26,67.0,14.48,54.0
2026-08-29 19:52:32,68.0,14.48,54.0
2026-08-29 19:52:40,69.0,14.48,24.0
